X	Y
-1,1618665	-0,469025924
3,586051599	-1,116071162
4,197706951	2,661792843
5,173148921	5,554274038
-0,867110354	-0,05760997
3,66252836	3,157125617
5,572747382	6,22738311
1,290828403	5,351588094
5,488921119	-1,78001658
1,876215857	4,871494155
-1,827684948	0,267325305
4,946932238	2,221537209
6,220099465	3,557082693
5,467112873	6,636502053
4,914963366	-1,030426764
4,066616101	7,554129251
4,953406078	2,430295813
4,935674952	-1,35511124
4,745772416	-1,235454916
5,05518134	0,353666262
4,14549853	2,697600333
5,773769456	3,482397668
4,701418876	-0,965339085
3,940348779	2,92018257
6,435600367	7,017910324
4,622207731	-1,275625696
4,558599643	-1,032416955
-1,407899012	-0,629706966
4,420624261	3,824305402
-0,324716367	0,139028564
-0,452444044	-0,381461823
4,362452197	-1,095776252
-1,043489885	-0,156039965
1,000087757	4,53847007
-0,563887757	-0,217573209
4,948796447	0,112245804
5,474148191	3,460756495
1,078053124	4,597524115
-0,523051909	0,748948882
4,464134817	0,090459939
5,928914468	6,403137859
4,004083375	-1,201923375
6,109278145	6,634876695
4,269156862	3,402212508
-0,698703812	-0,288983444
5,116396529	-0,835384682
-1,333828093	0,138834944
5,332982464	6,130544947
1,301461071	4,02628861
-1,2376895	0,564985844
1,177449296	4,998260927
5,794346912	-1,147725503
4,090408701	2,546327196
-0,482510893	-0,57127351
5,261130358	7,07479823
4,543711104	0,367596969
1,508361355	4,990234147
4,49852193	-1,020611965
4,701768602	-0,134906467
-1,01069269	0,230224524
1,743803944	4,248914496
5,86422128	6,444682594
-1,103680816	-0,441692419
4,879919162	3,191581224
5,252153253	5,370084343
1,890420802	3,865232743
4,855775477	2,043712263
-0,735021325	0,788952216
4,65447907	6,390127251
4,268880587	3,793233894
-1,341497215	0,717101482
1,793065281	4,805578867
4,268637684	-1,179223664
5,575898712	2,466056288
4,636776587	3,143174737
5,623644716	4,193431132
6,235362901	6,563333041
3,39715022	-0,525059042
4,986609122	0,076999699
5,243375575	6,941757785
-0,422133796	-0,777480161
5,116868904	3,668076243
4,886010466	6,11155152
4,78341037	3,253068288
0,921897306	3,512083148
5,762204489	2,566760403
5,126000486	-0,088618029
0,798697075	4,520846068
1,711000368	4,672038317
-0,835754826	-0,593925754
-1,814905764	0,01626187
4,458472644	2,950217038
4,457189374	-1,170880514
0,253533994	4,572226865
1,486431892	4,634646746
5,004400059	5,263259658
1,18460905	4,159261581
4,275924931	4,167887392
5,785822287	7,473700269
-2,181752582	-0,957577437
4,572051157	1,828085866
4,76838077	-1,40001212
4,898824281	-0,743548378
1,184677528	4,86465415
4,519232408	3,649181243
-0,463510372	-0,623370361
-1,226495577	-0,203316423
-0,989674146	0,432480768
5,024666234	5,738424067
4,714610019	3,297601508
4,974221482	3,132447214
-1,866272828	0,15256689
0,970043476	3,372355077
4,950906236	6,574577842
4,842819517	2,990537581
1,929697975	4,287339125
5,62708269	6,224633139
6,559754293	6,954590552
6,28276055	7,426258685
2,130162528	4,537328123
-1,557872321	0,089230702
3,90586283	2,470789334
4,588471349	-0,697271664
-2,176454574	-0,483240558
1,091193642	4,552301392
5,139820008	2,742605466
-1,19736695	-0,049192929
-1,696833222	-0,072310735
-1,042131101	-0,53177939
5,712455626	6,171855177
4,632830171	-0,792674363
5,102860161	-1,370972135
-1,092636564	-0,425543029
0,504416861	5,028660135
1,183814076	4,940730294
-1,144196827	-0,413051082
4,352568156	2,130411164
-0,902918791	-0,919988461
-0,761109713	0,8375174
0,517901536	3,8275727
5,292402535	3,401662311
-0,811621792	-0,322629158
-0,112462084	-0,001516803
5,369976537	6,366950502
-1,219834125	-0,114223575
-1,057386239	-0,404987664
-0,012840611	4,77561378
5,371635294	5,893778644
3,91926351	2,971316598
5,612080516	7,132856802
5,606307542	7,173297621
4,759808226	2,782969145
4,034116103	-0,102209743
5,142491481	-0,825740973
5,975057587	3,101297997
-0,776799763	-0,48799298
6,050616017	7,314851187
0,989089324	3,694929328
4,994686207	3,786825408
5,847222195	6,687674255
5,124157695	6,314505267
1,051939361	4,238426491
1,125112642	4,589745946
4,631815554	2,548235284
-0,992165042	0,747529974
4,995250908	3,406000629
4,196687973	6,292770428
5,049903019	2,869549216
5,781522291	7,321125491
0,945354101	4,316456357
-1,509583573	-0,304502433
1,712171534	3,980515779
1,122676574	3,748783607
0,763225497	4,179685005
4,950300702	2,552449553
